site.block,site,block,treatment,subplot,vasc.pct,moss.pct,bare.pct,pct.lup.cov.29Aug,pct.lfmnr.29Aug,vasc.pct.herbsurv,moss.pct.herbsurv,bare.pct.herbsurv,prop.wilt,pct.wilt
1800E,E1800,E,Control,2369,2.07,0.87890625,96.81640625,0.977,40,0.1,1.3671875,99,0,0
1800E,E1800,E,Control,2370,0.139,0.09765625,99.68710938,0.391,50,0.3,0.3125,99,0,0
1800E,E1800,E,Control,2371,0.156,0.5859375,98.5546875,3.516,66.7,0.3,3.515625,95,0,0
1800E,E1800,E,Control,2372,0.098,0.78125,98.84765625,0.977,40,0.2,0.78125,99,0,0
1800W,E1800,W,Control,2389,2.188,0.9375,96.9296875,3.125,50,2.8,5.46875,90,0,3.571428571
1800W,E1800,W,Control,2390,0.625,1.171875,97.5,3.711,63.2,0.8,4.1015625,92,0,0
1800W,E1800,W,Control,2391,1.25,1.0546875,97.484375,1.563,12.5,1.6,7.03125,90,0,0
1800W,E1800,W,Control,2392,0.566,1.171875,95.96484375,9.766,76,0.8,6.25,83,0,0
1800W,E1800,W,Control,2393,1.523,0.859375,95.5859375,15.625,50,1.6,3.90625,85,0.181818182,0
1800W,E1800,W,Control,2394,2.109,0.6640625,94.6875,13.281,76.5,2,4.296875,80,0.375,18.18181818
1800W,E1800,W,Control,2395,0.215,1.5625,96.20703125,9.766,40,0.2,3.90625,90,0,37.5
1800W,E1800,W,Control,2396,0.176,0.5078125,98.53515625,3.516,50,0.4,2.734375,95,0,0
E1600S,E1600,S,Lupine Rem.,2014,2.07,3.41796875,94.51171875,0,0,,,,0,0
E1600S,E1600,S,Lupine Rem.,2015,0.859,0,99.125,0,0,,,,0,0
E1600S,E1600,S,Lupine Rem.,2016,0.41,0.15625,99.44921875,0,0,,,,0,0
E1600S,E1600,S,Lupine Rem.,2017,0.078,0,99.921875,0,0,,,,0,0
E1600S,E1600,S,Lupine Rem.,2018,0.156,0.1171875,99.7578125,0,0,,,,0,0
E1600S,E1600,S,Lupine Rem.,2019,0.898,0.078125,99.0234375,0,0,,,,0,0
E1600S,E1600,S,Lupine Rem.,2020,1.953,0.5078125,97.5390625,0,0,,,,0,0
E1600S,E1600,S,Lupine Rem.,2021,3.281,1.7578125,94.6328125,0,0,,,,0,0
E1600N,E1600,N,Lupine Rem.,2022,1.191,3.7109375,95.72265625,0,0,,,,0,0
E1600N,E1600,N,Lupine Rem.,2023,0.879,4.296875,94.82421875,0,0,,,,0,0
E1600N,E1600,N,Lupine Rem.,2024,0.488,2.734375,96.77734375,0,0,,,,0,0
E1600N,E1600,N,Lupine Rem.,2025,0.273,1.3671875,98.359375,0,0,,,,0,0
E1600N,E1600,N,Lupine Rem.,2026,2.09,2.734375,95.17578125,0,0,,,,0,0
E1600N,E1600,N,Lupine Rem.,2027,0.156,0.1171875,99.7265625,0,0,,,,0,0
E1600N,E1600,N,Lupine Rem.,2028,0.625,1.25,97.5390625,0,0,,,,0,0
E1600N,E1600,N,Lupine Rem.,2029,1.289,1.953125,96.7578125,0,0,,,,0,0
1800E,E1800,E,Lupine Rem.,2030,0.082,0,99.72265625,0,0,,,,0,0
1800E,E1800,E,Lupine Rem.,2031,0.039,0.0390625,99.921875,0,0,,,,0,0
1800E,E1800,E,Lupine Rem.,2032,0,0.078125,99.921875,0,0,,,,0,0
1800E,E1800,E,Lupine Rem.,2033,0.156,0.78125,99.0625,0,0,,,,0,0
1800E,E1800,E,Lupine Rem.,2034,1.172,0.078125,98.74992188,0,0,,,,0,0
1800E,E1800,E,Lupine Rem.,2035,0,0.78125,99.21875,0,0,,,,0,0
1800E,E1800,E,Lupine Rem.,2036,0.004,0.078125,99.91796875,0,0,,,,0,0
1800E,E1800,E,Lupine Rem.,2037,0,0.078125,99.53125,0,0,,,,0,0
1800W,E1800,W,Lupine Rem.,2038,0.391,0.390625,99.21875,0,0,,,,0,0
1800W,E1800,W,Lupine Rem.,2039,0.035,0.4296875,99.53515625,0,0,,,,0,0
1800W,E1800,W,Lupine Rem.,2040,0.234,0.15625,99.609375,0,0,,,,0,0
1800W,E1800,W,Lupine Rem.,2041,0.176,0.5859375,99.25390625,0,0,,,,0,0
1800W,E1800,W,Lupine Rem.,2042,0.078,0.234375,99.6875,0,0,,,,0,0
1800W,E1800,W,Lupine Rem.,2043,0.254,0.5078125,99.25390625,0,0,,,,0,0
1800W,E1800,W,Lupine Rem.,2044,0.586,0.5078125,98.9375,0,0,,,,0,0
1800W,E1800,W,Lupine Rem.,2045,0.234,0.1953125,99.5703125,0,0,,,,0,0
E1600N,E1600,N,Herbiv.Exc,2341,1.461,0.46875,92.0359375,15.625,0,2.4,0.78125,68,0.075949367,7.594936709
E1600N,E1600,N,Herbiv.Exc,2342,4.023,0.78125,94.1796875,6.25,6.3,4,3.125,86,0,0
E1600N,E1600,N,Herbiv.Exc,2343,2.656,0,93.9375,12.5,0,5.6,1.5625,80,0.176470588,17.64705882
E1600N,E1600,N,Herbiv.Exc,2344,0.508,3.28125,93.4765625,15.234,0.6,1.6,5.078125,79,0.076923077,7.692307692
E1600N,E1600,N,Herbiv.Exc,2345,1.133,2.734375,94.8046875,5.469,1.8,0.6,14.84375,77,0,0
E1600N,E1600,N,Herbiv.Exc,2346,1.621,1.796875,91.01171875,13.672,0,4,3.90625,70,0,0
E1600N,E1600,N,Herbiv.Exc,2347,2.461,2.34375,92.1328125,14.063,0,4.4,7.03125,72,0.1,10
E1600N,E1600,N,Herbiv.Exc,2348,1.074,2.5390625,92.94921875,20.313,0,1.6,15,67,0.022727273,2.272727273
E1600S,E1600,S,Herbiv.Exc,2357,0.195,1.2890625,92.5,21.875,0,0.8,10.9375,55,0.075949367,0
E1600S,E1600,S,Herbiv.Exc,2358,0.879,5.46875,91.94921875,7.031,1.4,1.6,22,72,0,7.594936709
E1600S,E1600,S,Herbiv.Exc,2359,0.391,0.78125,98.59375,0.781,0,0.8,3.515625,96,0,0
E1600S,E1600,S,Herbiv.Exc,2360,0.586,12.890625,83.3984375,17.188,0,2.2,35,50,0.225,0
E1600S,E1600,S,Herbiv.Exc,2361,1.797,1.953125,90.4375,34.375,0,4,24,50,0.1,22.5
E1600S,E1600,S,Herbiv.Exc,2362,0.508,6.640625,86.7890625,27.344,0,0.8,45,35,0.294871795,10
E1600S,E1600,S,Herbiv.Exc,2363,0.043,7.8125,91.67890625,3.125,0,0.4,15.625,73,0,29.48717949
E1600S,E1600,S,Herbiv.Exc,2364,0.625,1.4453125,96.5234375,5.859,0,2.4,4.296875,86,0,0
1800E,E1800,E,Herbiv.Exc,2373,0,0.4296875,97.578125,7.031,19.4,0,2.5390625,91,0.260869565,0
1800E,E1800,E,Herbiv.Exc,2374,0.313,0.46875,96.171875,15.625,2.5,0.4,1.953125,88,0.076923077,26.08695652
1800E,E1800,E,Herbiv.Exc,2375,0.039,0.234375,96.9140625,13.281,0,0.04,1.3671875,90,0.055555556,7.692307692
1800E,E1800,E,Herbiv.Exc,2376,0.023,0.0390625,96.58125,23.438,2.5,0.1,1.171875,86,0.081395349,5.555555556
1800E,E1800,E,Herbiv.Exc,2377,0.156,0.15625,96.640625,13.281,0,0.1,2.34375,88,0.012820513,8.139534884
1800E,E1800,E,Herbiv.Exc,2378,0.004,0.00390625,99.2890625,4.297,0,0,0.0390625,98,0.111111111,1.282051282
1800E,E1800,E,Herbiv.Exc,2379,0.039,0.00390625,98.94140625,4.297,0,0.1,0.0390625,97,0.038461538,11.11111111
1800E,E1800,E,Herbiv.Exc,2380,1.074,0.9765625,95.07421875,16.406,0.6,0.6,3.515625,83,0.054054054,3.846153846
1800W,E1800,W,Herbiv.Exc,2381,0.977,0.9765625,96.265625,10.156,1.9,0.8,5.46875,90,0.173913043,5.405405405
1800W,E1800,W,Herbiv.Exc,2382,0.566,0.5859375,95.34765625,18.75,2.1,0.8,3.125,82,0.088888889,17.39130435
1800W,E1800,W,Herbiv.Exc,2383,0.43,0.0390625,96.875,11.719,5,0.4,1.5625,90,0.176470588,8.888888889
1800W,E1800,W,Herbiv.Exc,2384,0.332,3.3984375,93.30078125,11.719,0,0.4,23.4375,65,0.131578947,17.64705882
1800W,E1800,W,Herbiv.Exc,2385,0.195,0.6640625,96.796875,14.063,0,0.4,2.734375,85,0.2,13.15789474
1800W,E1800,W,Herbiv.Exc,2386,0.023,0.5078125,93.378125,26.563,0,0.1,3.515625,80,0.219178082,20
1800W,E1800,W,Herbiv.Exc,2387,0.273,0.0390625,94.21875,19.141,0,0.4,1.953125,68,0.714285714,21.91780822
1800W,E1800,W,Herbiv.Exc,2388,0.898,0.5078125,96.421875,10.938,0,1.2,2.734375,85,0.035714286,71.42857143
